uid,username,password
1,abomasnow,123
2,abra,123
3,absol,123
4,accelgor,123
5,aegislash,123
6,aerodactyl,123
7,aggron,123
8,aipom,123
9,alakazam,123
10,alomomola,123
11,altaria,123
12,amaura,123
13,ambipom,123
14,amoonguss,123
15,ampharos,123
16,anorith,123
17,arbok,123
18,arcanine,123
19,arceus,123
20,archen,123
21,archeops,123
22,ariados,123
23,armaldo,123
24,aromatisse,123
25,aron,123
26,articuno,123
27,audino,123
28,aurorus,123
29,avalugg,123
30,axew,123
31,azelf,123
32,azumarill,123
33,azurill,123
34,bagon,123
35,baltoy,123
36,banette,123
37,barbaracle,123
38,barboach,123
39,basculin,123
40,bastiodon,123
41,bayleef,123
42,beartic,123
43,beautifly,123
44,beedrill,123
45,beheeyem,123
46,beldum,123
47,bellossom,123
48,bellsprout,123
49,bergmite,123
50,bibarel,123
51,bidoof,123
52,binacle,123
53,bisharp,123
54,blastoise,123
55,blaziken,123
56,blissey,123
57,blitzle,123
58,boldore,123
59,bonsly,123
60,bouffalant,123
61,braixen,123
62,braviary,123
63,breloom,123
64,bronzong,123
65,bronzor,123
66,budew,123
67,buizel,123
68,bulbasaur,123
69,buneary,123
70,bunnelby,123
71,burmy,123
72,butterfree,123
73,cacnea,123
74,cacturne,123
75,camerupt,123
76,carbink,123
77,carnivine,123
78,carracosta,123
79,carvanha,123
80,cascoon,123
81,castform,123
82,caterpie,123
83,celebi,123
84,chandelure,123
85,chansey,123
86,charizard,123
87,charmander,123
88,charmeleon,123
89,chatot,123
90,cherrim,123
91,cherubi,123
92,chesnaught,123
93,chespin,123
94,chikorita,123
95,chimchar,123
96,chimecho,123
97,chinchou,123
98,chingling,123
99,cinccino,123
100,clamperl,123
101,clauncher,123
102,clawitzer,123
103,claydol,123
104,clefable,123
105,clefairy,123
106,cleffa,123
107,cloyster,123
108,cobalion,123
109,cofagrigus,123
110,combee,123
111,combusken,123
112,conkeldurr,123
113,corphish,123
114,corsola,123
115,cottonee,123
116,cradily,123
117,cranidos,123
118,crawdaunt,123
119,cresselia,123
120,croagunk,123
121,crobat,123
122,croconaw,123
123,crustle,123
124,cryogonal,123
125,cubchoo,123
126,cubone,123
127,cyndaquil,123
128,darkrai,123
129,darmanitan,123
130,darumaka,123
131,dedenne,123
132,deerling,123
133,deino,123
134,delcatty,123
135,delibird,123
136,delphox,123
137,deoxys,123
138,dewgong,123
139,dewott,123
140,dialga,123
141,diancie,123
142,diggersby,123
143,diglett,123
144,ditto,123
145,dodrio,123
146,doduo,123
147,donphan,123
148,doublade,123
149,dragalge,123
150,dragonair,123
151,dragonite,123
152,drapion,123
153,dratini,123
154,drifblim,123
155,drifloon,123
156,drilbur,123
157,drowzee,123
158,druddigon,123
159,ducklett,123
160,dugtrio,123
161,dunsparce,123
162,duosion,123
163,durant,123
164,dusclops,123
165,dusknoir,123
166,duskull,123
167,dustox,123
168,dwebble,123
169,eelektrik,123
170,eelektross,123
171,eevee,123
172,ekans,123
173,electabuzz,123
174,electivire,123
175,electrike,123
176,electrode,123
177,elekid,123
178,elgyem,123
179,emboar,123
180,emolga,123
181,empoleon,123
182,entei,123
183,escavalier,123
184,espeon,123
185,espurr,123
186,excadrill,123
187,exeggcute,123
188,exeggutor,123
189,exploud,123
190,farfetch'd,123
191,fearow,123
192,feebas,123
193,fennekin,123
194,feraligatr,123
195,ferroseed,123
196,ferrothorn,123
197,finneon,123
198,flaaffy,123
199,flabébé,123
200,flareon,123
201,fletchinder,123
202,fletchling,123
203,floatzel,123
204,floette,123
205,florges,123
206,flygon,123
207,foongus,123
208,forretress,123
209,fraxure,123
210,frillish,123
211,froakie,123
212,frogadier,123
213,froslass,123
214,furfrou,123
215,furret,123
216,gabite,123
217,gallade,123
218,galvantula,123
219,garbodor,123
220,garchomp,123
221,gardevoir,123
222,gastly,123
223,gastrodon,123
224,genesect,123
225,gengar,123
226,geodude,123
227,gible,123
228,gigalith,123
229,girafarig,123
230,giratina,123
231,glaceon,123
232,glalie,123
233,glameow,123
234,gligar,123
235,gliscor,123
236,gloom,123
237,gogoat,123
238,golbat,123
239,goldeen,123
240,golduck,123
241,golem,123
242,golett,123
243,golurk,123
244,goodra,123
245,goomy,123
246,gorebyss,123
247,gothita,123
248,gothitelle,123
249,gothorita,123
250,gourgeist,123
251,granbull,123
252,graveler,123
253,greninja,123
254,grimer,123
255,grotle,123
256,groudon,123
257,grovyle,123
258,growlithe,123
259,grumpig,123
260,gulpin,123
261,gurdurr,123
262,gyarados,123
263,happiny,123
264,hariyama,123
265,haunter,123
266,hawlucha,123
267,haxorus,123
268,heatmor,123
269,heatran,123
270,heliolisk,123
271,helioptile,123
272,heracross,123
273,herdier,123
274,hippopotas,123
275,hippowdon,123
276,hitmonchan,123
277,hitmonlee,123
278,hitmontop,123
279,honchkrow,123
280,honedge,123
281,ho-oh,123
282,hoopa,123
283,hoothoot,123
284,hoppip,123
285,horsea,123
286,houndoom,123
287,houndour,123
288,huntail,123
289,hydreigon,123
290,hypno,123
291,igglybuff,123
292,illumise,123
293,infernape,123
294,inkay,123
295,ivysaur,123
296,jellicent,123
297,jigglypuff,123
298,jirachi,123
299,jolteon,123
300,joltik,123
301,jumpluff,123
302,jynx,123
303,kabuto,123
304,kabutops,123
305,kadabra,123
306,kakuna,123
307,kangaskhan,123
308,karrablast,123
309,kecleon,123
310,keldeo,123
311,kingdra,123
312,kingler,123
313,kirlia,123
314,klang,123
315,klefki,123
316,klink,123
317,klinklang,123
318,koffing,123
319,krabby,123
320,kricketot,123
321,kricketune,123
322,krokorok,123
323,krookodile,123
324,kyogre,123
325,kyurem,123
326,lairon,123
327,lampent,123
328,landorus,123
329,lanturn,123
330,lapras,123
331,larvesta,123
332,larvitar,123
333,latias,123
334,latios,123
335,leafeon,123
336,leavanny,123
337,ledian,123
338,ledyba,123
339,lickilicky,123
340,lickitung,123
341,liepard,123
342,lileep,123
343,lilligant,123
344,lillipup,123
345,linoone,123
346,litleo,123
347,litwick,123
348,lombre,123
349,lopunny,123
350,lotad,123
351,loudred,123
352,lucario,123
353,ludicolo,123
354,lugia,123
355,lumineon,123
356,lunatone,123
357,luvdisc,123
358,luxio,123
359,luxray,123
360,machamp,123
